timestamp,humidity,temperature
2026-07-30T12:52:28.232096,67.3,14.6
2026-07-30T12:52:43.238600,67.1,14.7
2026-07-30T12:52:58.245182,66.8,14.8
2026-07-30T12:53:13.251895,66.9,14.8
2026-07-30T12:53:28.258213,66.6,14.8
2026-07-30T12:53:43.264741,66.6,14.9
2026-07-30T12:53:58.271286,66.4,14.9
2026-07-30T12:54:13.277758,66.5,14.9
2026-07-30T12:54:28.284319,66.5,14.8
2026-07-30T12:54:43.290747,66.5,14.9
2026-07-30T12:54:58.297230,66.6,14.9
2026-07-30T12:55:13.303921,66.6,14.9
2026-07-30T12:55:28.310656,66.6,14.9
2026-07-30T12:55:43.317474,66.6,14.9
2026-07-30T12:55:58.324234,66.6,14.9
2026-07-30T12:56:13.331023,66.7,14.9
2026-07-30T12:56:28.337856,66.7,14.8
2026-07-30T12:56:43.344649,66.7,14.8
2026-07-30T12:56:58.351366,66.7,14.8
2026-07-30T12:57:13.358030,66.7,14.8
2026-07-30T12:57:28.364675,66.7,14.8
2026-07-30T12:57:43.371324,66.7,14.8
2026-07-30T12:57:58.377898,66.6,14.8
2026-07-30T12:58:13.384301,66.6,14.8
2026-07-30T12:58:28.390848,66.7,14.8
2026-07-30T12:58:43.397568,66.7,14.8
2026-07-30T12:58:58.404028,66.8,14.8
2026-07-30T12:59:13.410638,66.7,14.8
2026-07-30T12:59:28.416975,66.7,14.8
2026-07-30T12:59:43.423335,66.8,14.8
2026-07-30T12:59:58.429769,66.8,14.8
2026-07-30T13:00:13.436347,66.8,14.8
2026-07-30T13:00:28.442828,66.8,14.7
2026-07-30T13:00:43.449265,66.8,14.8
2026-07-30T13:00:58.455717,66.8,14.8
2026-07-30T13:01:13.462078,66.8,14.8
2026-07-30T13:01:28.468528,66.7,14.8
2026-07-30T13:01:43.475032,66.9,14.9
2026-07-30T13:01:58.481539,66.8,14.9
2026-07-30T13:02:13.488274,66.8,14.9
2026-07-30T13:02:28.494715,66.8,14.9
2026-07-30T13:02:43.501296,66.8,14.9
2026-07-30T13:03:13.551508,66.7,14.9
2026-07-30T13:03:28.557840,66.9,14.9
2026-07-30T13:03:43.564252,67.0,14.9
2026-07-30T13:08:43.807074,67.2,14.9
2026-07-30T13:08:58.813558,67.4,14.9
2026-07-30T13:09:13.819939,67.2,15.0
2026-07-30T13:09:28.826424,67.1,15.0
2026-07-30T13:09:43.832786,67.2,15.0
2026-07-30T13:09:58.839423,67.0,15.1
2026-07-30T13:10:13.845973,66.7,15.1
2026-07-30T13:10:28.852410,66.6,15.2
