timestamp,humidity,temperature
2026-07-30T10:45:56.545541,65.00,14.20
2026-07-30T10:46:11.551855,64.50,14.20
2026-07-30T10:46:26.558238,64.60,14.00
2026-07-30T10:46:41.564761,64.70,14.00
2026-07-30T10:46:56.571182,65.10,13.90
2026-07-30T10:47:11.577575,65.10,13.80
2026-07-30T10:47:26.583921,65.30,13.80
2026-07-30T10:47:41.590527,65.50,13.70
2026-07-30T10:47:56.596872,65.60,13.60
2026-07-30T10:48:11.603382,65.30,13.60
2026-07-30T10:48:26.609789,65.50,13.50
2026-07-30T10:48:41.616137,65.70,13.50
2026-07-30T10:48:56.622496,65.80,13.50
2026-07-30T10:49:11.628830,66.00,13.40
2026-07-30T10:49:26.635212,66.10,13.40
2026-07-30T10:49:41.641561,66.10,13.40
2026-07-30T10:49:56.648033,66.30,13.40
2026-07-30T10:50:11.654646,66.40,13.30
2026-07-30T10:50:26.661043,66.30,13.30
2026-07-30T10:50:41.667634,66.40,13.30
2026-07-30T10:50:56.674262,66.40,13.30
2026-07-30T10:51:11.680728,66.50,13.30
2026-07-30T10:51:26.687204,66.50,13.20
2026-07-30T10:51:41.693524,66.60,13.20
2026-07-30T10:51:56.699786,66.70,13.20
2026-07-30T10:52:11.706134,66.70,13.20
2026-07-30T10:52:26.712681,66.70,13.20
2026-07-30T10:52:41.718902,66.80,13.20
2026-07-30T10:52:56.725255,66.80,13.20
2026-07-30T10:53:11.731633,66.90,13.20
2026-07-30T10:53:26.738258,66.80,13.20
2026-07-30T10:53:41.744992,66.90,13.20
2026-07-30T10:53:56.751651,66.90,13.10
2026-07-30T10:54:11.758124,66.90,13.10
2026-07-30T10:54:26.764721,66.90,13.20
2026-07-30T10:54:41.771296,66.80,13.10
2026-07-30T10:54:56.726892,66.90,13.10
2026-07-30T10:55:11.733295,66.90,13.10
2026-07-30T10:55:26.739690,66.90,13.10
2026-07-30T10:55:41.746125,66.90,13.10
2026-07-30T10:55:56.752432,66.80,13.10
2026-07-30T10:56:11.758039,66.80,13.10
2026-07-30T10:56:41.807095,66.90,13.10
2026-07-30T10:56:56.810896,69.10,13.20
2026-07-30T10:57:11.816223,70.10,13.30
2026-07-30T10:57:26.822382,71.80,13.50
2026-07-30T10:57:41.828508,72.40,13.70
2026-07-30T10:57:56.834669,68.80,13.80
2026-07-30T10:58:11.840853,66.80,13.80
2026-07-30T10:58:26.847007,66.30,13.80
2026-07-30T10:58:41.853187,66.60,13.90
2026-07-30T10:58:56.859240,66.00,13.90
2026-07-30T10:59:11.865270,66.20,14.00
2026-07-30T10:59:26.871597,65.50,14.00
2026-07-30T10:59:41.877894,65.30,14.00
2026-07-30T10:59:56.884056,65.20,14.00
2026-07-30T11:00:11.890106,65.20,14.00
2026-07-30T11:00:26.896249,65.10,13.90
2026-07-30T11:00:41.902495,65.20,13.90
2026-07-30T11:00:56.908756,65.30,13.90
2026-07-30T11:01:11.914964,65.30,13.90
2026-07-30T11:01:26.921067,66.00,13.90
2026-07-30T11:01:41.927398,65.70,13.90
2026-07-30T11:01:56.933745,65.40,13.90
2026-07-30T11:02:11.939775,65.40,14.00
